Haste Padrão,250 mm | 250 mm,Digimess,1835-3,1835-3,N/C,N/C,LAFTEC,2506019,2025-02-27,2026-02-22,ALMOXARIFADO
Haste Padrão,275 mm | 275 mm,Digimess,1835-4,1835-4,N/C,N/C,LAFTEC,2506020,2025-02-27,2026-02-22,ALMOXARIFADO
Holiday Detector,,END Araujo,593,593,754,HD-05,END Araujo,021/22,2022-01-28,2023-07-22,ALMOXARIFADO
Holiday Detector,,ET Class,1828,1828,2871-H,ETC-CX,LAFTEC,2415430,2024-06-21,2025-12-13,OBRA 118
Holiday Detector,,ET Class,1973,1973,4029-J,ETC-DC,ET Class,0166/2022,2022-04-29,2023-10-21,ALMOXARIFADO
Holiday Detector,,ETClass,1986,1986,4031-E,ETC-CX,LAFTEC,2415431,2024-06-21,2025-12-13,OBRA 118
Holiday Detector,,END Araujo,1987,1987,4005E,ETC-CX,LAFTEC,2438033,2024-11-25,2026-05-19,OBRA 118
Holiday Detector,,ETClass,1988,1988,4028-E,ETC-CX,ETCLASS,0163/2020,2020-06-22,2021-12-14,ALMOXARIFADO
Luxímetro,,Minipa,776,776,1011000283,MLM-1011,LAFTEC,2305360,2023-03-10,2025-08-26,OBRA 118
Luxímetro,,Minipa,LUX-001,LUX-001,N/C,MLM-1011,LAF METROLOGIA,1800619,2018-02-06,2020-01-27,ALMOXARIFADO
Luxímetro Digital,,Minipa,1252,1252,ML1011003128,MLM-111,LAFTEC,2224238,2022-10-20,2024-10-09,ALMOXARIFADO
Manômetro,0 kgf/cm² - 250 kgf/cm²,MTR,30,30,N/C,ND,LAFTEC,2227309,2022-11-24,2023-02-22,ALMOXARIFADO
Termohigrometro Digital,,Minipa,31,31,2298953,MT-241A,METRUS,E0688007-0821,2021-08-10,2023-07-31,ALMOXARIFADO
Manômetro,(0 kgf/cm² | 20 kgf/cm²),MTR,238,MAN-242,100563,N/C,LAFTEC,2304976,2023-03-02,2023-05-31,ALMOXARIFADO
Manômetro,(0 kgf/cm² | 90 kgf/cm²),TUB,243,243,100563,N/C,LAFTEC,2304978,2023-03-02,2023-05-31,ALMOXARIFADO
Manômetro,(0 a 160 kgf/cm2),Salvi,337,337,N/C,N/C,LAFTEC,2227307,2022-11-24,2023-02-22,ALMOXARIFADO
Manômetro,,Naka,1533,1533,30904,Classe 1 ABNT,METRUS,P0688009-0521,2021-05-18,2021-08-16,ALMOXARIFADO
Manômetro,,Naka,1534,1534,30833,N/C,LAFTEC,2503383,2025-02-10,2025-05-11,OBRA 118
Manômetro,(0 a 100 kgf/cm2),Willy,1536,1536,N/C,Classe A1 ABNT,MSMI,C205258/25,2025-07-09,2025-10-07,OBRA 118
Manômetro,(0 a 100 kgf/cm2),Naka,1537,1537,30902,Classe A1 ABNT,MSMI,C205262/25,2025-07-09,2025-10-07,OBRA 118
Manômetro,(0 a 10 kgf/cm2),Naka,1538,1538,N/C,Classe A1 ABNT,LAFTEC,2304191,2023-02-19,2023-05-20,ALMOXARIFADO
Manômetro,(0 a 60 kgf/cm2),Dox,1776,1776,N/C,N/C,LAFTEC,2518910,2025-06-17,2025-09-15,ALMOXARIFADO
Manômetro,(0 a 10 kgf/cm2),Suplyfer,1868,1868,N/C,Classe A1 ABNT,LAFTEC,2317942,2023-07-11,2023-10-09,ALMOXARIFADO
Manômetro,(0 kgf/cm² | 100 kgf/cm²),Alliance,1997,1997,N/C,N/C,LAFTEC,2304979,2023-03-02,2023-05-31,ALMOXARIFADO
Manômetro,(0 a 10 kgf/cm2),Asta,3054,(MAN-EGV-3054),N/C,N/C,LAFTEC,2304190,2023-02-17,2023-05-18,ALMOXARIFADO
Manômetro,(0 a 20 kgf/cm2),ASTA,6115,6115,N/C,N/C,LAFTEC,2521445,2025-07-07,2025-10-05,ALMOXARIFADO
Manômetro,,ARCIDEL,16160,16160,N/C,N/C,LAFTEC,2215516,2022-07-08,2022-10-06,ALMOXARIFADO
Manômetro,,Winters,096089,096089,96089,N/C,TECNICA CALIB.,2004660,2020-08-18,2020-11-16,ALMOXARIFADO
Manômetro,(0 a 160 kg/f2),Wika,239787,239787,239787,N/C,MSMI,C202326/25,2025-07-09,2025-10-07,OBRA 118
Manômetro,(0 a 25 kgf/cm2),Wika,239790,239790,82002N99,Classe A2 ABNT,MSMI,C202296/25,2025-07-09,2025-10-07,OBRA 118
